rate_id,price_unit_id,rate_price
677,513,null
807,946,null
773,544,null
167,48,null
954,139,null
203,247,null
502,205,null
857,633,null
389,846,null
132,269,null
828,835,null
824,427,null
902,214,null
85,724,null
943,253,null
675,649,null
642,104,null
902,252,null
856,912,null
308,135,null
962,901,null
975,83,null
457,355,null
739,683,null
127,716,null
478,485,null
254,501,null
776,977,null
678,161,null
267,689,null
487,69,null
865,925,null
714,460,null
668,822,null
668,447,null
832,874,null
397,153,null
842,16,null
817,684,null
648,627,null
368,203,null
38,805,null
349,256,null
305,114,null
443,433,null
711,321,null
670,973,null
225,873,null
523,683,null
917,780,null
182,270,null
871,66,null
943,429,null
647,480,null
627,108,null
558,819,null
285,151,null
143,385,null
271,504,null
325,730,null
656,589,null
562,511,null
388,914,null
139,195,null
948,939,null
448,229,null
993,608,null
535,234,null
346,340,null
861,874,null
642,949,null
30,785,null
476,358,null
260,297,null
569,154,null
727,256,null
344,669,null
856,787,null
383,989,null
391,354,null
30,254,null
691,55,null
759,634,null
970,596,null
595,93,null
894,225,null
460,124,null
64,654,null
746,598,null
900,795,null
452,314,null
951,340,null
67,205,null
816,468,null
984,681,null
535,468,null
192,109,null
851,166,null
260,381,null
222,56,null
744,666,null
346,726,null
505,892,null
555,475,null
437,180,null
727,302,null
438,622,null
867,224,null
644,780,null
393,342,null
237,800,null
206,861,null
718,283,null
387,585,null
531,609,null
499,387,null
561,403,null
416,571,null
60,721,null
549,236,null
170,583,null
850,847,null
652,636,null
709,564,null
288,587,null
273,100,null
355,290,null
593,891,null
636,550,null
920,112,null
975,344,null
795,843,null
773,217,null
601,361,null
779,568,null
163,418,null
977,498,null
82,243,null
544,166,null
446,440,null
847,746,null
371,732,null
893,237,null
31,665,null
774,83,null
54,225,null
352,613,null
486,451,null
325,688,null
234,991,null
766,736,null
614,924,null
372,111,null
982,37,null
850,576,null
788,53,null
158,305,null
320,613,null
732,232,null
362,710,null
700,173,null
653,99,null
234,444,null
695,861,null
954,823,null
996,243,null
109,933,null
322,920,null
735,930,null
386,482,null
608,944,null
559,588,null
302,594,null
749,920,null
751,56,null
87,714,null
501,904,null
522,467,null
191,412,null
622,275,null
225,609,null
860,15,null
136,510,null
866,384,null
953,349,null
295,584,null
285,33,null
559,569,null
260,926,null
762,420,null
324,715,null
780,436,null
245,332,null
222,845,null
232,134,null
399,810,null
471,598,null
586,844,null
874,987,null
94,559,null
841,252,null
564,229,null
31,670,null
125,456,null
175,716,null
102,71,null
297,601,null
903,80,null
715,825,null
519,308,null
234,186,null
534,494,null
465,566,null
741,768,null
184,30,null
985,44,null
731,886,null
295,610,null
937,849,null
589,392,null
792,249,null
968,828,null
894,590,null
803,693,null
234,33,null
390,451,null
810,751,null
497,57,null
844,253,null
823,790,null
946,632,null
517,118,null
519,194,null
940,823,null
213,780,null
195,786,null
895,627,null
590,300,null
150,95,null
157,666,null
778,62,null
501,597,null
261,593,null
106,503,null
178,633,null
267,172,null
965,872,null
891,504,null
142,152,null
617,231,null
21,576,null
77,674,null
509,321,null
951,743,null
227,72,null
925,339,null
743,899,null
841,186,null
240,297,null
767,841,null
497,248,null
238,549,null
188,807,null
387,391,null
537,997,null
943,186,null
196,772,null
618,996,null
416,653,null
704,139,null
955,25,null
185,186,null
98,430,null
507,310,null
889,805,null
829,362,null
474,160,null
301,289,null
161,316,null
973,832,null
462,186,null
527,101,null
574,359,null
210,399,null
733,354,null
105,321,null
930,72,null
44,12,null
869,495,null
502,94,null
443,981,null
837,765,null
888,791,null
644,366,null
703,230,null
367,484,null
569,159,null
477,561,null
923,591,null
267,395,null
84,292,null
701,628,null
441,586,null
114,331,null
27,486,null
460,688,null
215,769,null
121,319,null
170,452,null
534,644,null
989,423,null
690,100,null
846,450,null
611,179,null
126,647,null
753,772,null
814,707,null
543,809,null
309,771,null
543,591,null
572,783,null
714,611,null
183,211,null
682,919,null
230,173,null
106,434,null
320,515,null
248,269,null
238,672,null
912,103,null
299,262,null
272,770,null
660,39,null
626,122,null
688,775,null
138,614,null
935,736,null
813,573,null
520,704,null
954,968,null
129,238,null
71,290,null
47,759,null
90,872,null
286,980,null
518,847,null
903,303,null
941,54,null
802,12,null
472,366,null
982,358,null
157,728,null
929,191,null
318,448,null
808,915,null
595,868,null
135,31,null
280,129,null
671,850,null
905,981,null
979,41,null
442,655,null
253,909,null
590,940,null
649,794,null
723,308,null
667,491,null
213,543,null
969,358,null
159,357,null
272,546,null
211,379,null
79,404,null
636,507,null
928,269,null
577,94,null
764,975,null
771,495,null
495,90,null
668,815,null
99,744,null
954,552,null
496,979,null
680,365,null
862,72,null
565,11,null
216,456,null
591,221,null
774,965,null
862,473,null
435,914,null
487,631,null
604,741,null
709,608,null
729,734,null
88,798,null
593,373,null
592,534,null
908,118,null
864,931,null
204,34,null
107,38,null
442,587,null
135,290,null
22,207,null
61,862,null
910,221,null
636,799,null
808,120,null
198,219,null
604,609,null
239,788,null
29,7,null
193,874,null
24,166,null
351,713,null
732,212,null
189,518,null
401,199,null
427,422,null
336,467,null
764,784,null
377,73,null
913,176,null
267,287,null
341,43,null
809,196,null
819,505,null
904,60,null
416,980,null
126,150,null
443,573,null
481,908,null
201,813,null
609,914,null
959,313,null
212,619,null
975,330,null
800,368,null
263,548,null
476,902,null
923,233,null
243,958,null
455,603,null
569,948,null
948,106,null
447,199,null
101,944,null
218,267,null
650,839,null
203,306,null
602,451,null
298,791,null
583,976,null
537,101,null
784,287,null
149,218,null
221,358,null
557,619,null
564,578,null
537,342,null
452,665,null
909,202,null
85,228,null
792,838,null
426,982,null
228,859,null
375,202,null
960,739,null
795,622,null
42,800,null
291,468,null
354,406,null
377,100,null
217,307,null
940,192,null
394,11,null
407,525,null
168,507,null
976,822,null
790,194,null
183,568,null
732,72,null
585,721,null
280,962,null
995,242,null
950,665,null
229,779,null
290,903,null
369,384,null
481,377,null
966,869,null
128,298,null
760,996,null
386,19,null
887,346,null
393,242,null
594,439,null
613,60,null
174,501,null
28,795,null
861,891,null
539,920,null
348,722,null
931,673,null
151,69,null
149,840,null
293,252,null
432,180,null
228,158,null
199,392,null
977,605,null
948,653,null
116,547,null
900,528,null
846,32,null
191,912,null
78,611,null
755,634,null
628,607,null
197,670,null
890,599,null
44,269,null
953,709,null
776,958,null
313,581,null
857,998,null
616,971,null
824,919,null
512,58,null
834,461,null
225,35,null
565,983,null
606,124,null
118,673,null
947,282,null
534,436,null
937,221,null
861,390,null
953,703,null
36,733,null
889,212,null
795,508,null
632,514,null
171,774,null
392,883,null
697,65,null
569,115,null
190,671,null
810,16,null
582,322,null
513,779,null
969,137,null
975,529,null
650,547,null
314,389,null
733,173,null
420,816,null
667,171,null
287,444,null
560,422,null
837,689,null
342,426,null
388,96,null
730,238,null
782,751,null
949,255,null
843,756,null
282,77,null
973,720,null
93,626,null
394,346,null
132,284,null
936,331,null
314,221,null
759,372,null
815,270,null
268,797,null
616,951,null
775,344,null
826,436,null
57,143,null
504,352,null
446,934,null
824,89,null
409,687,null
818,935,null
450,82,null
549,793,null
330,878,null
362,214,null
90,137,null
49,316,null
647,904,null
123,318,null
29,256,null
796,292,null
261,308,null
744,846,null
125,240,null
964,432,null
136,154,null
491,356,null
324,853,null
775,33,null
405,16,null
554,660,null
161,453,null
460,979,null
444,484,null
227,307,null
778,215,null
225,930,null
687,619,null
876,946,null
925,762,null
421,179,null
88,653,null
181,717,null
88,443,null
574,145,null
749,726,null
427,115,null
333,13,null
183,772,null
401,305,null
539,876,null
955,759,null
845,276,null
262,218,null
883,45,null
288,724,null
408,216,null
924,960,null
327,906,null
874,375,null
807,782,null
982,334,null
309,636,null
73,96,null
435,84,null
481,749,null
505,958,null
726,176,null
618,627,null
387,874,null
893,972,null
873,291,null
23,808,null
753,252,null
382,701,null
691,488,null
784,365,null
51,297,null
941,298,null
407,848,null
471,621,null
531,472,null
965,276,null
285,696,null
34,853,null
38,528,null
948,517,null
155,218,null
954,555,null
769,579,null
596,29,null
521,402,null
195,622,null
780,214,null
307,356,null
571,912,null
845,584,null
497,560,null
655,593,null
380,898,null
425,929,null
229,606,null
293,432,null
677,434,null
441,88,null
765,138,null
462,907,null
711,241,null
639,616,null
628,229,null
514,983,null
279,735,null
868,809,null
675,658,null
76,454,null
650,618,null
502,79,null
200,925,null
716,998,null
995,175,null
568,526,null
771,371,null
513,814,null
162,946,null
916,339,null
848,601,null
748,108,null
547,64,null
162,356,null
816,830,null
714,595,null
635,992,null
551,181,null
438,835,null
757,885,null
901,21,null
457,227,null
386,646,null
333,709,null
950,61,null
259,18,null
462,541,null
619,547,null
876,138,null
310,362,null
822,949,null
